"","Campaign_ID","Target_Audience","Campaign_Goal","Duration","Channel_Used","Conversion_Rate","Acquisition_Cost","ROI","Location","Language","Clicks","Impressions","Engagement_Score","Customer_Segment","Date","Company"
"148218",425571,"All Ages","Increase Sales",11,"Pinterest",0.0408850001738939,11788,0.610254198385493,"Miami","Spanish",9747.2,35401.1,118.003666666667,"Fashion","2022-10-27","Runway Rebels"
"145357",136673,"Women 18-24","Increase Sales",19,"Pinterest",0.0966911435788591,12235,5.85055931864778,"Austin","English",14477.892,32791.824,109.30608,"Health","2022-03-14","Elixir Essence"
"140593",883660,"Women 25-34","Market Expansion",17,"Pinterest",0.117076158174928,14536,15.7419629667032,"Miami","English",13201.9712,56944.944,189.81648,"Food","2022-12-15","Bistro Bliss"
"41106",221233,"Women 18-24","Brand Awareness",12,"Facebook",0.0527944778403534,4191,19.0780453443608,"Las Vegas","English",4736.64,21098.7,70.329,"Food","2022-05-06","Savor Street"
"82019",852798,"Women 35-44","Increase Sales",3,"Instagram",0.131424093518004,6744,2.1283068969758,"Los Angeles","English",19870.62,39373.5,131.245,"Home","2022-01-25","Cozy Corners"
"111395",396189,"Women 35-44","Product Launch",5,"Instagram",0.149649157686686,11158,10.0856628490532,"New York","Spanish",56267.4,129412.8,431.376,"Fashion","2022-01-08","Style Sphere"
"187959",715413,"Women 35-44","Brand Awareness",22,"Twitter",0.0738354906101636,14998,7.57737591359831,"Austin","French",8733.296,18416.592,61.38864,"Health","2022-07-23","Pulse Point"
"95704",520871,"Men 45-60","Brand Awareness",29,"Instagram",0.0722225983328859,7620,69.9196593910953,"Miami","English",10684.3968,42725.088,142.41696,"Food","2022-07-15","Savor Street"
"173512",755414,"Women 45-60","Brand Awareness",7,"Twitter",0.0242913470104953,13427,3.81565783391038,"Las Vegas","English",25376.64,107070.3,356.901,"Home","2022-04-24","Decor Dreams"
"76593",199651,"Women 18-24","Market Expansion",26,"Instagram",0.813708324666719,12819,1.38988718335422,"Los Angeles","French",43744.162,100470.24,334.9008,"Technology","2022-12-17","NexGen Nerds"
"121123",860878,"Men 35-44","Market Expansion",28,"Instagram",0.452146725602026,1514,47.2498397113994,"Los Angeles","French",22387.5652,53019.36,176.7312,"Fashion","2022-06-15","Glam Garments"
"174927",149393,"Women 45-60","Brand Awareness",1,"Twitter",0.0215021658018681,11882,1.49411014139821,"Las Vegas","English",9297.92,40095.9,133.653,"Food","2022-06-29","Culinary Quest"
"39674",491692,"Men 45-60","Product Launch",8,"Facebook",0.0099086883367886,11701,3.62007092862346,"Austin","English",19207.24,33278.1,110.927,"Food","2022-12-10","Epicurean Edge"
"86631",724406,"Women 45-60","Increase Sales",8,"Instagram",0.0866334220452031,5768,9.46933918820743,"New York","French",15445.5,37291.2,124.304,"Home","2022-10-09","Furnish Fine"
"181643",160197,"Women 45-60","Brand Awareness",7,"Twitter",0.0399375390377208,2799,3.76765048447854,"Austin","Spanish",808.08,1836.9,6.123,"Food","2022-12-09","Bistro Bliss"
"92926",764848,"Men 35-44","Increase Sales",22,"Instagram",0.455525030499729,11242,13.8335233563529,"New York","Spanish",79965.27,218271.744,727.57248,"Food","2022-06-12","Epicurean Edge"
"117504",586087,"Women 18-24","Increase Sales",11,"Instagram",0.229754571932396,3148,2.97222598031838,"Los Angeles","French",8934.52,18958.5,63.195,"Fashion","2022-04-24","Attire Artistry"
"11501",117384,"Women 18-24","Increase Sales",6,"Facebook",0.153964456790076,10849,16.6214575914715,"Los Angeles","English",76678.84,145426.5,484.755,"Technology","2022-08-14","NexGen Nerds"
"136427",988835,"Women 18-24","Product Launch",16,"Pinterest",0.385938554662357,6862,13.418425190531,"Los Angeles","French",25756.9312,65026.8,216.756,"Home","2022-05-16","Space Spruce"
"33415",925075,"Women 18-24","Brand Awareness",15,"Facebook",0.0875629397831032,8016,17.6314547579984,"Miami","English",24780.0256,97073.424,323.57808,"Food","2022-03-25","Bistro Bliss"
"191652",684156,"Men 18-24","Brand Awareness",21,"Twitter",0.420088944049034,2059,0.0547656988572786,"Los Angeles","English",36582.0994,84555.36,281.8512,"Fashion","2022-01-18","Runway Rebels"
"143617",446197,"Men 45-60","Brand Awareness",28,"Pinterest",0.214374158690555,1855,10.6328454021529,"Los Angeles","French",11288.816,29689.2,98.964,"Food","2022-10-05","Feast Flavors"
"173229",427687,"Men 25-34","Market Expansion",7,"Twitter",0.0611107029977119,2776,1.78337116786564,"Las Vegas","English",16403.84,69696,232.32,"Home","2022-12-22","Space Spruce"
"168812",953090,"Men 25-34","Brand Awareness",11,"Twitter",0.304289624965472,12028,5.84323072682374,"Los Angeles","English",31013.78,60178.5,200.595,"Home","2022-07-04","Dwell Delight"
"161552",118735,"Women 25-34","Brand Awareness",29,"Twitter",0.11863969046361,9932,5.28529151229183,"Austin","English",4277.3016,9354.96,31.1832,"Technology","2022-09-27","Cyber Circuit"
"109228",805571,"Men 18-24","Increase Sales",14,"Instagram",0.047652230726645,6686,7.12163731136718,"Austin","English",8348.08,14721.6,49.072,"Health","2022-02-22","Balance Beam"
"141498",657067,"All Ages","Brand Awareness",28,"Pinterest",0.161481355776806,14373,2.91598730988446,"Los Angeles","English",1192.2372,5037.12,16.7904,"Food","2022-08-11","Gourmet Grove"
"155725",488011,"Men 18-24","Product Launch",7,"Pinterest",0.200086370345468,1434,9.19560480827932,"New York","French",5128.2,14294.4,47.648,"Fashion","2022-01-28","Chic Couture"
"154178",126333,"Women 25-34","Product Launch",12,"Pinterest",0.065605014748892,1567,4.21308522741385,"Austin","French",4833.4,9374.1,31.247,"Fashion","2022-05-07","Runway Rebels"
"5071",101942,"Men 35-44","Product Launch",29,"Facebook",0.0528479262271503,9199,30.3450497243574,"Miami","English",11857.6128,47251.008,157.50336,"Technology","2022-10-01","Gadget Giants"
"43631",634785,"Men 25-34","Market Expansion",16,"Facebook",0.595692691211721,14528,4.57603721405095,"Los Angeles","French",34292.6584,79470.72,264.9024,"Health","2022-12-28","Wellness Waves"
"136072",969337,"Men 35-44","Brand Awareness",13,"Pinterest",0.338560991736505,12164,2.88570627457284,"Los Angeles","French",53880.82,112048.5,373.495,"Home","2022-07-27","Nest Neat"
"71556",248538,"All Ages","Increase Sales",5,"Instagram",0.0751493539852044,7747,17.1476504270035,"Los Angeles","Spanish",11252.64,23287.5,77.625,"Technology","2022-10-16","NexGen Nerds"
"190899",942615,"Women 25-34","Brand Awareness",4,"Twitter",0.0523367581061433,7440,0.361882108835882,"Miami","English",10019.84,33525.1,111.750333333333,"Fashion","2022-04-02","Style Sphere"
"70941",133211,"Women 18-24","Increase Sales",10,"Instagram",0.0499334480188451,4224,11.0874489117086,"Miami","English",11048.96,36859.9,122.866333333333,"Technology","2022-08-18","Pixel Pioneers"
"191121",399626,"Men 25-34","Increase Sales",29,"Twitter",0.0391998789454827,10077,5.78455994195242,"Las Vegas","English",27856.7168,140057.424,466.85808,"Fashion","2022-02-03","Chic Couture"
"38235",562781,"Women 25-34","Brand Awareness",2,"Facebook",0.0766515477290724,2796,20.2581163354125,"Las Vegas","English",23481.6,99177.3,330.591,"Food","2022-02-09","Bistro Bliss"
"73149",385270,"Women 25-34","Market Expansion",16,"Instagram",0.118672724881142,12458,28.9296240160853,"Las Vegas","English",19644.9792,99350.064,331.16688,"Technology","2022-05-04","Cyber Circuit"
"18158",983020,"All Ages","Product Launch",9,"Facebook",0.184568573461202,4416,14.7600634926103,"New York","English",43050,99585.6,331.952,"Home","2022-08-16","Decor Dreams"
"134892",778423,"Women 25-34","Market Expansion",23,"Pinterest",0.0909947774193809,3304,3.18704947557296,"Miami","English",14881.6448,64065.456,213.55152,"Home","2022-01-12","Space Spruce"
"169041",306140,"Women 18-24","Increase Sales",19,"Twitter",0.0443777775950614,4192,4.52776095404351,"Las Vegas","French",1870.176,11238.912,37.46304,"Home","2022-06-21","Homely Haven"
"147548",965030,"Women 25-34","Brand Awareness",22,"Pinterest",0.0687870622282528,11728,1.08454893446961,"Miami","English",2987.6352,13653.36,45.5112,"Health","2022-04-18","Wellness Waves"
"124572",457288,"Women 25-34","Market Expansion",20,"Instagram",0.0979333695541241,5483,7.09829324538921,"Las Vegas","French",11693.44,59934.816,199.78272,"Fashion","2022-05-28","Chic Couture"
"34999",104008,"Women 25-34","Brand Awareness",9,"Facebook",0.0479967116399803,5120,18.6628346931647,"Las Vegas","English",22455.68,94904.1,316.347,"Food","2022-02-22","Bistro Bliss"
"150848",898009,"Men 35-44","Increase Sales",20,"Pinterest",0.0785475968843286,13634,0.107356895336016,"Las Vegas","English",9993.632,55733.184,185.77728,"Fashion","2022-10-24","Trend Tailors"
"57077",205431,"Women 45-60","Brand Awareness",12,"Facebook",0.119274490692643,9726,21.4378121609144,"Los Angeles","English",67780.02,128815.5,429.385,"Fashion","2022-11-11","Vogue Visions"
"165582",220082,"Women 18-24","Brand Awareness",3,"Twitter",0.090644012601208,3770,4.24832828051677,"Austin","English",10202.4,17890.2,59.634,"Technology","2022-09-24","Cyber Circuit"
"6304",372682,"Men 18-24","Product Launch",11,"Facebook",0.281718052536442,12358,12.0482159444766,"Los Angeles","English",29364.44,57099,190.33,"Technology","2022-11-12","NexGen Nerds"
"81432",753756,"Women 25-34","Product Launch",22,"Instagram",0.0400340751400406,9450,7.78951661332125,"Las Vegas","French",7833.056,40799.376,135.99792,"Home","2022-02-01","Dwell Delight"
"2891",129784,"Women 18-24","Increase Sales",17,"Facebook",0.475924647606473,14936,30.5004670480622,"New York","Spanish",67872.651,185789.952,619.29984,"Technology","2022-11-15","Quantum Quirks"
"63409",932087,"All Ages","Increase Sales",5,"Facebook",0.0552821446835796,5257,0.186242501308437,"Austin","English",19152.64,33185.4,110.618,"Fashion","2022-10-09","Style Sphere"
"38164",298399,"All Ages","Market Expansion",24,"Facebook",0.247305614614027,1623,15.5559372939072,"Los Angeles","English",44783.7698,102781.44,342.6048,"Food","2022-10-18","Epicurean Edge"
"194559",246192,"Women 18-24","Increase Sales",22,"Twitter",0.272576086791393,7107,2.15272545290538,"Los Angeles","English",36616.657,84635.28,282.1176,"Fashion","2022-03-02","Style Sphere"
"90005",835868,"Women 25-34","Market Expansion",14,"Instagram",0.23565207765843,14427,15.6816720970593,"New York","English",3252.9,9774.4,32.5813333333333,"Food","2022-08-05","Gourmet Grove"
"92144",971414,"Women 18-24","Market Expansion",12,"Instagram",0.192224937142312,10551,13.2425260258252,"New York","French",28721.7,67252.8,224.176,"Food","2022-11-10","Nosh Nirvana"
"50812",798739,"Men 45-60","Market Expansion",13,"Facebook",0.11728254302021,9637,7.4541936237466,"New York","Spanish",41771.1,96700.8,322.336,"Fashion","2022-08-23","Trend Tailors"
"619",718267,"Women 35-44","Market Expansion",6,"Facebook",0.289860842354768,5333,23.633530149072,"New York","English",19063.8,45454.4,151.514666666667,"Technology","2022-12-16","Giga Geeks"
"183528",340310,"Men 18-24","Market Expansion",13,"Twitter",0.170949495977743,11655,1.09701990628498,"Los Angeles","English",32268.04,62518.5,208.395,"Food","2022-06-24","Gastronomy Guild"
"135907",108912,"Men 25-34","Increase Sales",9,"Pinterest",0.0450401255879013,2830,0.513870306610889,"Austin","French",3848.52,7524.3,25.081,"Home","2022-08-21","Furnish Fine"
"82021",182232,"Women 18-24","Brand Awareness",23,"Instagram",0.362517710134716,7904,46.5192742616493,"Los Angeles","English",102316.4142,230599.44,768.6648,"Home","2022-02-19","Cozy Corners"
"183199",103090,"Men 35-44","Product Launch",4,"Twitter",0.225886300937533,9937,1.60904682932328,"New York","Spanish",27409.2,64289.6,214.298666666667,"Food","2022-06-27","Dine Divine"
"95619",719232,"Women 18-24","Product Launch",28,"Instagram",0.124095243502865,6193,18.3152164073147,"Miami","French",8814.2208,35514.864,118.38288,"Food","2022-05-02","Dine Divine"
"4712",728273,"Women 18-24","Increase Sales",22,"Facebook",0.410101974305175,6883,11.0760505597002,"New York","English",43387.575,120031.488,400.10496,"Technology","2022-06-11","Code Crafters"
"153543",805618,"Women 18-24","Brand Awareness",24,"Pinterest",0.371887370591023,6293,9.5297656240909,"New York","English",41367.48,124397.568,414.65856,"Fashion","2022-10-24","Fiber Fashion"
"168277",123203,"Women 35-44","Market Expansion",16,"Twitter",0.0614402625051157,4634,4.72269521384108,"Las Vegas","English",27408.3392,137836.08,459.4536,"Home","2022-10-02","Homely Haven"
"17068",365369,"Men 45-60","Product Launch",8,"Facebook",0.0554647312334292,13791,10.1403346825429,"New York","English",81669,186742.4,622.474666666667,"Technology","2022-10-16","Pixel Pioneers"
"100211",230220,"Women 18-24","Product Launch",2,"Instagram",0.262243992332672,5199,4.82508387257436,"Los Angeles","French",47764.22,91447.5,304.825,"Food","2022-04-17","Gastronomy Guild"
"35888",633473,"Women 25-34","Brand Awareness",13,"Facebook",0.0631068691736505,3689,5.81500759168341,"Austin","English",8306.48,14651.1,48.837,"Food","2022-06-24","Palate Paradise"
"91315",689381,"Men 35-44","Brand Awareness",24,"Instagram",0.499566186199626,1050,28.9289920686604,"Los Angeles","English",1900.668,7508.16,25.0272,"Food","2022-04-22","Palate Paradise"
"112151",134843,"Women 45-60","Product Launch",28,"Instagram",0.108869510254564,4878,54.9916910380597,"Austin","French",20248.9144,41836.608,139.45536,"Fashion","2022-07-01","Silk & Style"
"97395",134214,"Women 35-44","Product Launch",19,"Instagram",0.078499981974035,8403,8.39123799161901,"Austin","French",989.7316,2669.76,8.8992,"Food","2022-03-18","Gastronomy Guild"
"78993",535456,"Women 18-24","Brand Awareness",5,"Instagram",0.0770980545903319,7441,18.6758120256614,"Austin","English",3974.36,7247.7,24.159,"Technology","2022-04-01","Gadget Giants"
"129786",670752,"Men 18-24","Increase Sales",23,"Pinterest",0.0648674844936604,10070,3.0401922429749,"Miami","English",13641.8304,58808.736,196.02912,"Technology","2022-05-14","Quantum Quirks"
"60853",207775,"Men 45-60","Brand Awareness",25,"Facebook",0.0456340645280747,13371,22.4668154681203,"Austin","English",12880.3532,26851.392,89.50464,"Fashion","2022-07-20","Glam Garments"
"43836",736618,"Women 35-44","Brand Awareness",1,"Facebook",0.105442427535363,5123,1.9691705689216,"New York","Spanish",64581.3,148176,493.92,"Health","2022-01-27","Pulse Point"
"43058",810049,"Women 35-44","Increase Sales",15,"Facebook",0.0553771993054177,14647,13.4511903183965,"Las Vegas","French",20746.9504,104815.296,349.38432,"Health","2022-09-01","Heal Hub"
"181387",348522,"Men 25-34","Brand Awareness",5,"Twitter",0.0269165716908034,11602,3.19533615408545,"Miami","English",4712.96,16333.1,54.4436666666667,"Food","2022-01-14","Gourmet Grove"
"67040",762209,"All Ages","Market Expansion",18,"Instagram",0.0542338676850473,5581,17.0152870392462,"Miami","French",13358.4,53035.92,176.7864,"Technology","2022-08-10","Gadget Giants"
"23292",702694,"All Ages","Product Launch",14,"Facebook",0.0206786520098258,2420,13.2230307862036,"Miami","Spanish",4176,14593.6,48.6453333333333,"Home","2022-08-16","Domestic Dream"
"31428",605647,"Men 25-34","Brand Awareness",19,"Facebook",0.07195058425634,12623,16.7088378437352,"Miami","French",10541.1328,42173.712,140.57904,"Food","2022-11-25","Gourmet Grove"
"69044",820112,"Women 35-44","Market Expansion",2,"Instagram",0.0731726685444989,12342,43.5326527326995,"Miami","French",20768,68346.6,227.822,"Technology","2022-11-15","Cyber Circuit"
"75008",966308,"All Ages","Market Expansion",24,"Instagram",0.36472641286416,13095,9.22636523198775,"Los Angeles","English",110630.3968,249069.6,830.232,"Technology","2022-11-17","Silicon Saga"
"131120",210331,"Women 35-44","Increase Sales",2,"Pinterest",0.032423491391206,6967,1.64004973368748,"Las Vegas","English",14112.64,65503.8,218.346,"Technology","2022-05-09","Tech Titans"
"127939",611188,"Women 25-34","Increase Sales",10,"Pinterest",0.242166741874837,7325,7.44050718000272,"Los Angeles","English",1125.74,3787.5,12.625,"Technology","2022-02-08","Giga Geeks"
"50155",390225,"Women 25-34","Product Launch",28,"Facebook",0.466540220347141,13956,2.58930845977949,"New York","English",63047.292,172832.256,576.10752,"Fashion","2022-02-13","Style Sphere"
"104161",459383,"Men 35-44","Market Expansion",28,"Instagram",0.0968360273600201,3340,40.9736708778866,"Las Vegas","English",595.5136,4920.912,16.40304,"Health","2022-06-11","Vigor Valley"
"135445",460437,"Women 25-34","Product Launch",21,"Pinterest",0.142516163630035,7854,5.10787866152092,"Las Vegas","French",3037.9712,17830.368,59.43456,"Home","2022-11-21","Homely Haven"
"92658",474458,"Women 18-24","Increase Sales",14,"Instagram",0.0574126206439209,14621,3.69141177458572,"Las Vegas","English",5160.96,22864.5,76.215,"Food","2022-01-14","Savor Street"
"98420",492467,"All Ages","Market Expansion",9,"Instagram",0.0308086872905893,2041,16.6921145096338,"Miami","French",25358.72,83220.2,277.400666666667,"Food","2022-10-16","Savor Street"
"47718",174010,"Women 18-24","Increase Sales",15,"Facebook",0.130010355829532,10117,8.14626620340802,"Austin","English",14996.3528,31154.544,103.84848,"Health","2022-07-03","Vital Vigor"
"195633",573369,"Men 35-44","Market Expansion",6,"Twitter",0.2005807918297,4106,4.69605304383381,"New York","French",68554.5,157145.6,523.818666666667,"Fashion","2022-08-07","Silk & Style"
"104126",594782,"Women 25-34","Increase Sales",14,"Instagram",0.0292380049921819,10208,0.0369352204519099,"Austin","English",13970.84,24330.6,81.102,"Health","2022-11-18","Wellness Waves"
"65405",229917,"Men 35-44","Product Launch",26,"Facebook",0.320156022101961,12098,25.7604410465923,"Los Angeles","English",21085.8956,50127.12,167.0904,"Fashion","2022-10-24","Fiber Fashion"
"79345",470508,"Women 35-44","Increase Sales",22,"Instagram",0.231431620277218,2600,48.3265949211187,"Los Angeles","French",56997.0016,129908.88,433.0296,"Technology","2022-11-24","Silicon Saga"
"44693",703973,"Women 45-60","Brand Awareness",20,"Facebook",0.0346514151150878,14697,3.23735143968499,"Miami","French",8853.7152,35668.08,118.8936,"Health","2022-01-29","Balance Beam"
"99767",669619,"Women 25-34","Increase Sales",14,"Instagram",0.0372195232127022,9313,1.64143822537727,"Miami","Spanish",22172.16,72895.2,242.984,"Food","2022-03-31","Epicurean Edge"
"172812",236895,"Women 45-60","Product Launch",28,"Twitter",0.0594457029120775,3936,2.21623395741683,"Miami","English",15673.0816,61960.752,206.53584,"Home","2022-09-01","Decor Dreams"
"149764",204755,"Women 25-34","Increase Sales",2,"Pinterest",0.0391940728273335,10557,7.13659837628294,"Miami","English",863.36,3761.8,12.5393333333333,"Fashion","2022-01-01","Mode Maven"
"1264",252552,"Women 25-34","Brand Awareness",23,"Facebook",0.095880374041728,10371,14.5723165899222,"Miami","English",15015.616,59426.64,198.0888,"Technology","2022-09-21","Giga Geeks"
"29844",693355,"Women 25-34","Increase Sales",20,"Facebook",0.723755954373851,9881,4.36157571020024,"Los Angeles","French",48400.7986,110814.48,369.3816,"Home","2022-07-17","Living Luxe"
"23423",555260,"Women 35-44","Market Expansion",15,"Facebook",0.2140584611181,12685,21.9574019395946,"New York","English",10029.327,30440.448,101.46816,"Home","2022-08-31","Domestic Dream"
"143626",854874,"Men 35-44","Brand Awareness",21,"Pinterest",0.105813934520881,10079,0.941516904383834,"Austin","French",6417.84,14772.672,49.24224,"Food","2022-08-21","Palate Paradise"
"97117",105647,"Men 35-44","Brand Awareness",25,"Instagram",0.287076432748191,14669,31.7579286985815,"New York","English",32893.245,91846.656,306.15552,"Food","2022-02-16","Epicurean Edge"
"44775",173978,"Women 35-44","Product Launch",25,"Facebook",0.0371014990543748,11826,46.8105523696341,"Miami","Spanish",22252.384,87327.072,291.09024,"Health","2022-11-09","Elixir Essence"
"54394",816316,"Women 25-34","Increase Sales",10,"Facebook",0.0421066510031221,11547,13.626216826626,"Las Vegas","English",2003.84,9714.6,32.382,"Fashion","2022-08-15","Trend Tailors"
"40874",330497,"Men 35-44","Product Launch",9,"Facebook",0.259851326975935,13959,12.592992704899,"Los Angeles","Spanish",3715.18,9214.5,30.715,"Food","2022-03-17","Nosh Nirvana"
"106156",962622,"Women 35-44","Increase Sales",10,"Instagram",0.0406210209535606,12053,8.24837759784952,"Austin","Spanish",11046.36,19332.6,64.442,"Health","2022-08-22","Vital Vigor"
"144093",597893,"Men 25-34","Product Launch",20,"Pinterest",0.0982724765026961,8651,5.38859094421012,"New York","French",45753.246,137343.744,457.81248,"Health","2022-08-15","Elixir Essence"
"48754",143618,"Men 18-24","Increase Sales",8,"Facebook",0.0461264582631354,12373,1.13907163038811,"Miami","French",16336.64,53988.9,179.963,"Health","2022-07-27","Pulse Point"
"13988",212105,"Men 45-60","Brand Awareness",23,"Facebook",0.103363668833937,4513,25.5258431465108,"Los Angeles","English",59153.9718,134701.92,449.0064,"Technology","2022-02-28","Giga Geeks"
"172157",956210,"Women 25-34","Increase Sales",1,"Twitter",0.111541970283686,5966,3.4684750650745,"Austin","English",9384.44,16492.2,54.974,"Home","2022-08-21","Space Spruce"
"17305",395229,"Women 25-34","Brand Awareness",20,"Facebook",0.0506787065387336,13189,0.113040298256437,"Miami","English",18595.6672,73227.168,244.09056,"Home","2022-01-05","Decor Dreams"
"136536",985398,"Men 18-24","Product Launch",30,"Pinterest",0.0813815542590333,11311,2.08005711862479,"Las Vegas","Spanish",970.3232,6562.944,21.87648,"Home","2022-10-02","Hearth Harmony"
"165474",485179,"Women 45-60","Brand Awareness",3,"Twitter",0.18399341165973,10843,4.75535283104007,"New York","English",24601.5,57953.6,193.178666666667,"Technology","2022-08-19","Cyber Circuit"
"15601",211058,"Men 18-24","Market Expansion",24,"Facebook",0.593181782139039,13712,10.2330147763053,"Los Angeles","French",12587.6058,31248.72,104.1624,"Technology","2022-12-09","Silicon Saga"
"151733",286911,"Men 45-60","Brand Awareness",27,"Pinterest",0.0376247271790551,13341,11.8609559684477,"Las Vegas","English",1405.536,8932.032,29.77344,"Fashion","2022-02-14","Attire Artistry"
"99156",861788,"Women 25-34","Product Launch",14,"Instagram",0.406569221607115,7886,24.2655364487726,"New York","French",24918.6,58667.2,195.557333333333,"Food","2022-11-22","Epicurean Edge"
"20025",348675,"Men 25-34","Product Launch",28,"Facebook",0.435260313702366,5641,13.9318526130023,"Los Angeles","French",89198.9252,201456.72,671.5224,"Home","2022-11-03","Furnish Fine"
"169671",161690,"Men 18-24","Brand Awareness",16,"Twitter",0.181884403657549,14834,5.38728650162853,"Los Angeles","Spanish",48348.9622,110700,369,"Home","2022-09-02","Homely Haven"
